-----------------------------------------------------------------------------
-                  Time of Log in: 04/02/2023 14:04:50                       -
-----------------------------------------------------------------------------
	Shoulder Position: 130.0		Elbow Position: 180.0
-----------------------------------------------------------------------------
-                  Time of Log in: 04/02/2023 14:05:28                       -
-----------------------------------------------------------------------------
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.16		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1984		Elbow Position: 198.4032
	Shoulder Position: 138.1856		Elbow Position: 198.4032
	Shoulder Position: 133.3664		Elbow Position: 198.4032
	Shoulder Position: 122.4928		Elbow Position: 198.4032
	Shoulder Position: 114.1856		Elbow Position: 198.4032
	Shoulder Position: 113.5712		Elbow Position: 198.4128
	Shoulder Position: 105.4176		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 103.792		Elbow Position: 198.432
	Shoulder Position: 104.0736		Elbow Position: 198.432
	Shoulder Position: 104.1056		Elbow Position: 198.432
	Shoulder Position: 104.0608		Elbow Position: 198.432
	Shoulder Position: 104.16319999999999		Elbow Position: 198.432
	Shoulder Position: 105.36		Elbow Position: 198.432
	Shoulder Position: 105.36		Elbow Position: 198.432
	Shoulder Position: 105.0848		Elbow Position: 198.432
	Shoulder Position: 100.0416		Elbow Position: 198.4416
	Shoulder Position: 98.512		Elbow Position: 198.4512
	Shoulder Position: 98.512		Elbow Position: 198.4512
	Shoulder Position: 96.88		Elbow Position: 198.4512
	Shoulder Position: 94.4992		Elbow Position: 198.4704
-----------------------------------------------------------------------------
-                  Time of Log in: 04/02/2023 14:07:58                       -
-----------------------------------------------------------------------------
	Shoulder Position: 129.9616		Elbow Position: 165.4272
	Shoulder Position: 129.9616		Elbow Position: 165.4368
	Shoulder Position: 129.9616		Elbow Position: 165.4368
	Shoulder Position: 129.9616		Elbow Position: 165.4368
	Shoulder Position: 129.9616		Elbow Position: 165.4368
	Shoulder Position: 129.9616		Elbow Position: 165.4368
	Shoulder Position: 129.9616		Elbow Position: 165.4368
	Shoulder Position: 129.9616		Elbow Position: 165.4368
	Shoulder Position: 129.9616		Elbow Position: 165.4368
	Shoulder Position: 129.9616		Elbow Position: 165.4464
	Shoulder Position: 129.9616		Elbow Position: 165.4368
